fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,id
6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,1
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,2
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,3
7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,4
7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,5
5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,6
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,8
6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,9
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,10
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,11
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,12
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,13
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,14
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,15
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,16
6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,17
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,18
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,19
5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,20
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,21
6.9,0.3,0.36,0.9,0.037,40,156,0.98968,3.08,0.36,12.1,22
6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,23
6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4,24
6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,25
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,26
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,27
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,28
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,29
7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,30
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,31
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,32
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,33
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,34
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,35
5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,36
6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,37
6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,38
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,39
6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,40
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,41
5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,42
7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,43
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,44
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,45
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,46
5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,47
6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,48
7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,49
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,50
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,51
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,52
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,53
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,54
6.5,0.32,0.3,2.3,0.051,20,127,0.98964,3.13,0.52,12.8,55
6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,56
7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,57
7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,58
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,59
6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,60
7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,61
6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,62
7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,63
6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,64
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.2666666666667,65
7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,66
6.7,0.31,0.32,14.5,0.038,6,79,0.99412,3.14,0.34,12.5,67
7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,68
6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8,69
7.6,0.17,0.36,4.5,0.042,26,102,0.99427,3.09,0.47,9.5,70
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,71
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,72
5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,73
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,74
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,75
7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,76
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,77
6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,78
6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,79
6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,80
5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,81
7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,82
6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,83
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,84
5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,85
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,86
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,87
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,88
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,89
6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,90
7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,91
5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,92
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,93
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,94
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,95
7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,96
7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,97
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,98
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,99
5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,100
7.7,0.28,0.24,2.4,0.044,29,157,0.99312,3.27,0.56,10.6,101
6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,102
6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,103
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,104
6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,105
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,106
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,107
6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,108
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,109
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,110
8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,111
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,112
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,113
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,114
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,115
6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,116
7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,117
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,118
6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,119
